year,month,day_of_week,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,hour
2021,august,sunday,fatal,2,cycle,1,1,clear,national highway,dry,dawn,police checkpost,40,68,male,,no,16
2021,january,tuesday,serious,5,auto-rickshaw,5,3,stormy,national highway,damaged,dusk,police checkpost,62,36,male,valid,no,23
2021,august,friday,minor,2,bus,0,3,rainy,urban road,wet,dark,signs,32,43,female,valid,yes,8
2021,september,tuesday,minor,3,car,10,1,stormy,urban road,damaged,dark,,111,28,female,valid,yes,20
2022,may,friday,minor,1,pedestrian,8,4,hazy,urban road,dry,daylight,signs,51,30,male,,no,21
2021,january,friday,serious,1,auto-rickshaw,1,4,foggy,national highway,dry,dawn,signals,40,42,female,,no,23
2022,may,monday,fatal,1,cycle,0,2,hazy,village road,dry,dusk,signals,84,27,male,,no,6
2022,april,monday,serious,2,car,1,1,clear,village road,damaged,dawn,police checkpost,49,49,male,valid,yes,14
2018,june,monday,serious,3,bus,5,5,stormy,state highway,dry,dark,,60,56,female,expired,no,2
2020,february,wednesday,fatal,3,truck,3,5,foggy,village road,damaged,dawn,signs,70,25,female,valid,yes,23
2021,september,monday,fatal,2,pedestrian,3,5,stormy,national highway,dry,dusk,police checkpost,41,61,male,expired,yes,14
2023,may,monday,serious,2,car,3,0,clear,state highway,damaged,daylight,police checkpost,47,34,female,,yes,3
2021,january,tuesday,fatal,1,car,10,3,rainy,village road,under construction,daylight,police checkpost,106,34,male,valid,yes,4
2021,january,wednesday,fatal,4,cycle,8,3,stormy,state highway,under construction,dark,signals,77,67,male,valid,no,1
2019,june,sunday,serious,3,truck,10,3,rainy,national highway,under construction,daylight,,66,47,female,,no,18
2022,january,thursday,serious,2,bus,1,2,rainy,urban road,under construction,dusk,police checkpost,90,19,male,valid,no,10
2018,december,monday,minor,2,truck,1,0,hazy,urban road,under construction,daylight,signals,67,70,female,valid,no,4
2019,november,wednesday,serious,4,cycle,5,3,hazy,national highway,dry,dusk,police checkpost,65,18,male,valid,no,13
2022,may,wednesday,fatal,2,bus,6,3,foggy,national highway,dry,daylight,signs,53,44,female,,yes,9
2020,september,tuesday,minor,3,pedestrian,0,4,hazy,urban road,wet,dusk,signs,69,29,female,valid,yes,3
2023,august,friday,fatal,1,cycle,8,5,foggy,urban road,under construction,dawn,signs,84,69,male,valid,no,2
2022,november,thursday,serious,2,bus,1,0,rainy,state highway,under construction,dawn,,41,28,female,valid,yes,14
2023,june,sunday,minor,2,truck,8,0,stormy,village road,dry,dusk,police checkpost,48,67,female,valid,no,16
2019,july,saturday,serious,3,two-wheeler,7,3,stormy,national highway,damaged,daylight,,109,68,male,valid,no,15
2022,may,tuesday,minor,4,car,1,5,stormy,village road,dry,dark,signals,72,40,female,valid,yes,1
2022,july,monday,serious,2,truck,4,2,hazy,national highway,wet,daylight,,94,68,female,valid,no,16
2020,september,tuesday,serious,1,cycle,0,2,stormy,village road,dry,dawn,signals,50,32,female,expired,no,4
2020,october,saturday,fatal,2,bus,9,4,rainy,village road,dry,daylight,police checkpost,35,18,male,expired,no,3
2018,october,tuesday,serious,1,two-wheeler,8,4,clear,urban road,damaged,dawn,,39,58,male,valid,yes,16
2018,november,friday,fatal,5,truck,9,2,stormy,state highway,under construction,daylight,police checkpost,106,47,male,,yes,5
2023,june,monday,minor,5,auto-rickshaw,5,1,clear,village road,under construction,dawn,signals,113,53,female,valid,yes,18
2020,march,friday,serious,2,auto-rickshaw,3,2,hazy,national highway,damaged,daylight,,64,43,male,valid,yes,11
2019,october,tuesday,serious,4,auto-rickshaw,7,4,foggy,national highway,damaged,daylight,,108,31,female,valid,no,9
2018,december,monday,fatal,1,auto-rickshaw,10,4,hazy,village road,dry,daylight,police checkpost,94,70,male,expired,no,8
2021,april,thursday,minor,5,two-wheeler,6,4,clear,state highway,wet,dusk,,115,48,female,valid,yes,20
2023,march,friday,fatal,3,car,2,4,hazy,national highway,under construction,daylight,signs,31,27,male,,yes,2
2022,march,wednesday,serious,1,auto-rickshaw,2,3,hazy,national highway,wet,dusk,signals,80,48,female,,yes,6
2018,march,tuesday,fatal,2,auto-rickshaw,10,0,stormy,village road,under construction,dawn,,96,28,female,,no,6
2019,march,wednesday,minor,2,two-wheeler,4,0,rainy,urban road,wet,daylight,,71,20,male,,yes,7
2019,june,friday,serious,2,cycle,3,1,rainy,urban road,wet,daylight,signs,91,47,female,expired,yes,8
2020,february,monday,serious,3,bus,2,0,foggy,national highway,wet,dusk,,55,37,female,expired,yes,10
2021,may,thursday,minor,3,auto-rickshaw,5,4,foggy,national highway,wet,dusk,signs,85,29,female,expired,yes,20
2020,january,wednesday,minor,2,bus,7,0,clear,urban road,under construction,daylight,signs,62,70,male,expired,no,5
2022,may,thursday,minor,1,auto-rickshaw,3,3,rainy,urban road,under construction,daylight,signs,83,70,male,valid,no,5
2018,january,saturday,serious,3,two-wheeler,9,4,hazy,urban road,under construction,dusk,signals,31,43,female,,no,19
2021,june,thursday,minor,4,two-wheeler,3,0,clear,village road,damaged,dusk,police checkpost,119,66,male,valid,yes,9
2022,october,sunday,minor,3,bus,1,0,hazy,national highway,dry,dusk,signs,55,51,male,valid,no,10
2020,july,sunday,serious,2,two-wheeler,3,5,hazy,village road,damaged,dusk,police checkpost,67,59,female,valid,yes,14
2023,september,tuesday,fatal,4,pedestrian,6,0,rainy,urban road,damaged,daylight,signs,105,45,female,,yes,6
2019,june,friday,minor,5,car,7,0,rainy,national highway,dry,dusk,signals,99,21,male,valid,no,12
2022,march,monday,fatal,3,cycle,9,3,rainy,village road,under construction,dusk,police checkpost,48,45,female,expired,no,15
2021,august,thursday,fatal,5,two-wheeler,6,4,foggy,state highway,dry,daylight,,96,27,male,,no,16
2021,november,monday,fatal,5,pedestrian,5,1,rainy,urban road,dry,daylight,,103,51,female,valid,no,11
2019,march,friday,serious,2,pedestrian,9,3,stormy,village road,under construction,daylight,,55,36,female,expired,no,17
2020,april,friday,fatal,5,bus,8,3,foggy,national highway,damaged,dusk,,68,57,female,valid,no,17
2018,september,monday,serious,3,pedestrian,1,0,foggy,national highway,damaged,dark,signals,66,33,male,valid,no,13
2021,november,monday,fatal,2,bus,7,1,clear,village road,wet,dawn,signs,70,69,male,,no,8
2021,december,saturday,serious,5,two-wheeler,3,3,foggy,national highway,damaged,daylight,signals,102,53,female,valid,no,11
2021,november,wednesday,minor,1,two-wheeler,1,3,stormy,urban road,damaged,dark,,107,62,female,expired,yes,1
2021,december,monday,fatal,1,two-wheeler,4,4,hazy,state highway,under construction,daylight,,87,53,female,,no,0
2021,may,wednesday,fatal,2,car,9,2,foggy,urban road,under construction,dawn,signs,90,39,female,,no,5
2021,december,sunday,serious,2,two-wheeler,1,0,foggy,state highway,dry,dawn,signs,58,35,male,,no,15
2020,march,thursday,serious,5,auto-rickshaw,6,5,clear,state highway,wet,dark,,95,47,female,,no,13
2020,march,wednesday,fatal,5,car,5,5,clear,village road,wet,dusk,,58,35,female,,yes,5
2023,april,monday,serious,2,cycle,10,1,foggy,urban road,under construction,dusk,,98,44,female,,no,8
2022,april,monday,fatal,3,cycle,2,2,stormy,national highway,dry,dark,signals,80,20,male,valid,yes,16
2021,march,tuesday,minor,1,truck,9,3,rainy,village road,damaged,dark,police checkpost,96,28,male,valid,yes,20
2023,december,monday,fatal,4,two-wheeler,4,4,rainy,state highway,wet,dark,signals,39,27,male,expired,yes,11
2018,april,tuesday,minor,4,pedestrian,0,5,foggy,national highway,damaged,dark,,51,54,female,valid,yes,4
2020,january,wednesday,serious,3,bus,2,5,rainy,village road,dry,dusk,signals,46,43,male,expired,no,11
2019,october,tuesday,fatal,1,truck,3,0,clear,national highway,dry,dusk,signs,75,56,male,valid,no,0
2020,january,wednesday,fatal,4,two-wheeler,8,0,clear,urban road,dry,dusk,,68,59,male,expired,no,4
2018,february,thursday,minor,5,car,9,5,rainy,state highway,damaged,dawn,signs,107,48,male,,no,1
2022,september,tuesday,serious,5,two-wheeler,1,0,stormy,village road,under construction,daylight,signs,80,57,male,valid,yes,1
2022,april,saturday,minor,4,bus,9,4,foggy,urban road,under construction,daylight,,115,22,male,expired,no,22
2021,march,sunday,serious,2,truck,2,0,hazy,state highway,damaged,dusk,,44,54,male,,no,17
2018,february,saturday,minor,1,truck,5,0,hazy,national highway,wet,dusk,signals,67,25,male,valid,yes,6
2019,may,tuesday,serious,1,truck,5,5,clear,village road,under construction,daylight,signals,97,55,female,valid,yes,21
2019,december,sunday,serious,5,bus,6,5,hazy,urban road,dry,dawn,signs,79,65,female,,yes,16
2020,october,thursday,minor,3,car,10,4,hazy,state highway,dry,dark,,63,27,female,expired,no,3
2022,january,tuesday,fatal,5,two-wheeler,9,2,foggy,urban road,dry,dark,signals,84,39,male,valid,yes,7
2022,april,thursday,serious,3,bus,1,3,foggy,national highway,dry,dusk,signs,43,65,male,valid,no,3
2023,july,tuesday,fatal,2,car,9,4,hazy,state highway,dry,dusk,police checkpost,39,27,female,expired,yes,16
2020,january,wednesday,fatal,3,cycle,4,4,clear,village road,dry,dark,signals,35,62,male,valid,no,8
2019,october,monday,minor,4,truck,2,3,rainy,state highway,damaged,daylight,,32,24,female,expired,yes,22
2018,june,saturday,minor,4,truck,9,1,hazy,village road,wet,dusk,signals,95,18,female,expired,no,9
2019,september,thursday,minor,3,two-wheeler,4,2,stormy,national highway,wet,dark,police checkpost,82,54,male,valid,no,11
2018,january,tuesday,minor,5,cycle,6,5,stormy,urban road,wet,dusk,signs,101,25,male,,yes,23
2023,april,sunday,serious,2,pedestrian,8,5,foggy,urban road,dry,daylight,police checkpost,51,40,female,,no,23
2021,february,friday,serious,1,two-wheeler,0,3,stormy,national highway,wet,dusk,,88,67,male,expired,yes,5
2022,february,monday,serious,1,two-wheeler,8,0,stormy,national highway,wet,dark,police checkpost,107,67,female,,yes,20
2021,april,wednesday,serious,5,bus,7,3,rainy,village road,wet,dark,police checkpost,33,43,female,expired,yes,5
2021,january,monday,minor,4,two-wheeler,4,2,stormy,village road,under construction,dusk,signals,120,33,female,,no,8
2021,february,monday,minor,2,car,7,0,stormy,village road,wet,dusk,signals,72,22,male,valid,no,8
2018,january,thursday,fatal,2,bus,4,3,hazy,urban road,damaged,dawn,signals,92,63,male,valid,no,23
2020,december,tuesday,serious,1,auto-rickshaw,8,4,stormy,urban road,wet,daylight,,63,31,male,,no,8
2021,may,friday,serious,3,truck,8,2,hazy,village road,under construction,dusk,signs,66,22,female,valid,no,18
2021,december,thursday,fatal,1,auto-rickshaw,9,3,rainy,urban road,under construction,dusk,signals,69,30,male,,no,15
2021,december,thursday,minor,4,pedestrian,5,3,stormy,village road,wet,dark,signs,59,64,male,,no,15
2019,january,thursday,serious,5,pedestrian,6,0,foggy,village road,dry,daylight,signals,30,59,male,expired,no,2
2018,june,wednesday,minor,4,auto-rickshaw,8,1,clear,state highway,damaged,daylight,,35,42,female,valid,no,14
2018,october,saturday,minor,1,pedestrian,9,1,rainy,state highway,dry,dark,police checkpost,57,29,female,,no,14
2022,march,sunday,minor,4,car,9,1,rainy,state highway,wet,dawn,police checkpost,53,61,female,valid,no,13
2020,august,wednesday,fatal,2,cycle,2,2,foggy,village road,under construction,dusk,signals,96,26,male,valid,yes,1
2021,may,wednesday,fatal,2,two-wheeler,1,4,clear,state highway,damaged,dawn,police checkpost,38,21,male,valid,yes,18
2021,december,friday,minor,5,truck,2,4,rainy,state highway,dry,dark,police checkpost,84,45,male,expired,yes,17
2022,july,saturday,minor,2,bus,0,4,hazy,village road,dry,dark,police checkpost,53,65,male,expired,yes,20
2021,may,friday,serious,5,cycle,5,1,foggy,national highway,dry,daylight,signals,45,49,female,expired,no,16
2023,august,saturday,minor,2,two-wheeler,2,3,foggy,national highway,dry,daylight,signs,49,64,female,valid,no,6
2021,december,friday,fatal,1,pedestrian,7,1,hazy,urban road,dry,daylight,,102,61,female,expired,yes,16
2018,october,wednesday,serious,3,cycle,4,4,hazy,state highway,damaged,dusk,signals,111,22,male,,yes,1
2020,december,wednesday,serious,3,two-wheeler,10,2,stormy,urban road,damaged,dark,signals,90,54,male,valid,no,10
2022,january,sunday,serious,4,pedestrian,9,5,hazy,state highway,wet,dark,,90,42,female,,no,17
2022,july,wednesday,serious,2,truck,8,1,clear,urban road,dry,dark,,78,22,male,valid,no,18
2021,april,thursday,fatal,2,cycle,10,1,hazy,national highway,damaged,dawn,,112,55,female,,yes,1
2018,june,friday,minor,3,pedestrian,4,2,stormy,urban road,under construction,dark,signals,46,36,male,,no,11
2023,august,thursday,serious,4,bus,1,1,stormy,village road,dry,dawn,signs,45,53,female,expired,no,18
2022,july,friday,minor,1,truck,9,0,foggy,village road,dry,dawn,signals,78,40,male,expired,yes,19
2020,march,thursday,serious,1,two-wheeler,10,2,foggy,state highway,under construction,dark,,119,27,female,expired,yes,19
2023,november,thursday,serious,5,pedestrian,6,3,rainy,urban road,wet,dusk,police checkpost,37,60,female,,yes,0
2020,june,saturday,serious,1,truck,3,1,foggy,urban road,wet,daylight,,58,70,male,,yes,21
2020,july,wednesday,serious,1,cycle,7,4,rainy,state highway,wet,dark,signals,109,60,male,valid,no,23
2018,december,friday,minor,4,auto-rickshaw,1,5,foggy,village road,wet,dark,signals,86,51,female,valid,yes,0
2023,july,saturday,minor,1,pedestrian,1,3,foggy,urban road,wet,dawn,,30,59,male,valid,yes,8
2018,april,wednesday,minor,5,pedestrian,9,2,foggy,urban road,damaged,daylight,,81,54,male,,no,9
2023,february,sunday,minor,2,bus,2,2,foggy,urban road,damaged,dusk,police checkpost,56,60,female,,yes,16
2022,september,tuesday,fatal,4,car,6,3,rainy,urban road,wet,daylight,signs,53,40,female,,yes,8
2018,december,sunday,minor,3,bus,8,2,clear,state highway,under construction,daylight,,114,46,female,expired,yes,18
2021,october,friday,minor,1,pedestrian,2,3,stormy,urban road,dry,dawn,signs,97,37,male,expired,no,13
2022,january,saturday,serious,1,car,8,2,hazy,village road,wet,dawn,,109,51,female,expired,no,16
2023,july,saturday,serious,4,cycle,2,0,rainy,national highway,dry,dawn,,96,66,male,,yes,7
2018,august,thursday,minor,4,cycle,0,4,hazy,urban road,dry,daylight,signals,46,63,female,valid,yes,11
2018,may,saturday,serious,4,bus,0,1,rainy,state highway,wet,daylight,signs,30,52,female,,yes,19
2023,february,saturday,minor,3,two-wheeler,6,5,stormy,village road,under construction,dusk,police checkpost,55,68,female,valid,no,23
2021,april,sunday,fatal,3,cycle,3,1,stormy,urban road,dry,daylight,police checkpost,47,49,female,,yes,21
2021,october,wednesday,serious,5,two-wheeler,8,4,foggy,village road,damaged,daylight,,72,19,female,expired,no,5
2022,march,sunday,minor,5,pedestrian,6,0,rainy,village road,under construction,dark,signals,41,43,male,expired,yes,7
2020,april,thursday,minor,3,two-wheeler,8,0,hazy,national highway,damaged,dark,police checkpost,77,39,female,valid,no,7
2023,december,monday,serious,2,bus,10,1,hazy,state highway,wet,dusk,signs,116,55,male,,no,1
2022,april,monday,minor,3,pedestrian,7,1,rainy,state highway,wet,dark,police checkpost,78,42,male,valid,yes,17
2023,april,sunday,fatal,1,two-wheeler,4,5,stormy,national highway,dry,dawn,police checkpost,46,66,female,valid,yes,23
2020,august,thursday,minor,1,bus,1,0,stormy,urban road,under construction,daylight,,86,53,female,expired,yes,0
2020,march,monday,minor,3,bus,2,1,hazy,national highway,dry,daylight,signals,87,61,female,,yes,6
2020,july,friday,minor,4,car,8,2,clear,urban road,damaged,dawn,signals,110,70,male,valid,no,13
2020,december,monday,serious,5,cycle,4,2,hazy,urban road,wet,daylight,police checkpost,43,40,female,expired,no,5
2023,june,tuesday,fatal,4,cycle,5,2,foggy,urban road,dry,dawn,,64,67,male,valid,no,7
2022,december,friday,fatal,3,auto-rickshaw,3,2,foggy,urban road,damaged,dark,signals,117,57,female,expired,yes,11
2019,february,saturday,minor,5,car,10,2,rainy,national highway,under construction,daylight,,60,38,female,expired,no,17
2021,june,saturday,fatal,3,two-wheeler,9,0,clear,urban road,wet,dawn,,37,63,female,expired,no,1
2021,december,thursday,serious,4,truck,5,1,stormy,village road,dry,dawn,police checkpost,100,61,male,expired,no,8
2022,february,wednesday,fatal,5,car,6,2,stormy,state highway,wet,dawn,,44,36,female,expired,yes,11
2021,november,wednesday,fatal,3,truck,0,3,rainy,state highway,dry,dark,signals,98,24,female,,no,19
2020,january,thursday,minor,1,pedestrian,2,2,hazy,village road,dry,dark,,114,64,female,,yes,19
2020,december,thursday,minor,4,auto-rickshaw,10,1,stormy,state highway,wet,daylight,,80,40,male,,yes,9
2019,november,wednesday,serious,3,car,8,2,stormy,state highway,wet,daylight,,114,33,female,valid,no,21
2021,march,thursday,minor,5,two-wheeler,2,5,hazy,state highway,damaged,dusk,signs,30,27,female,valid,yes,11
2022,november,tuesday,fatal,2,two-wheeler,7,0,foggy,state highway,damaged,dawn,,94,22,male,expired,yes,9
2020,june,thursday,serious,1,bus,8,2,foggy,village road,dry,dark,,120,56,male,valid,no,22
2019,september,monday,serious,4,bus,6,5,hazy,urban road,under construction,daylight,signs,44,68,female,expired,yes,16
2022,march,sunday,serious,3,auto-rickshaw,10,2,stormy,village road,dry,dawn,signs,82,60,male,,no,9
2019,april,thursday,fatal,1,pedestrian,0,1,hazy,national highway,wet,dusk,signals,106,36,female,valid,yes,5
2019,march,friday,minor,2,pedestrian,7,5,rainy,national highway,dry,dusk,,38,46,female,,yes,15
2018,march,monday,minor,3,car,1,1,clear,urban road,under construction,daylight,signals,33,62,male,valid,no,5
2020,december,saturday,fatal,3,bus,8,4,hazy,village road,damaged,dusk,,80,68,male,valid,yes,13
2022,november,tuesday,fatal,5,auto-rickshaw,10,5,stormy,state highway,under construction,dark,signs,105,35,female,valid,no,13
2018,october,wednesday,serious,2,truck,8,2,foggy,village road,dry,dusk,,101,62,male,,yes,14
2021,april,monday,minor,5,pedestrian,4,4,stormy,village road,under construction,daylight,signs,106,36,female,expired,no,6
2021,august,sunday,minor,5,bus,1,2,hazy,state highway,damaged,dark,signs,55,24,male,,no,16
2021,september,sunday,minor,5,auto-rickshaw,8,5,clear,state highway,wet,dark,signals,36,33,male,,no,7
2021,april,monday,minor,2,truck,7,0,stormy,urban road,wet,dusk,,30,39,female,valid,no,11
2020,april,tuesday,minor,3,car,5,4,rainy,state highway,wet,daylight,signs,49,50,female,expired,yes,2
2023,may,friday,minor,1,pedestrian,2,4,rainy,state highway,under construction,dusk,police checkpost,77,66,male,,yes,8
2018,october,saturday,fatal,2,cycle,5,1,hazy,state highway,dry,dusk,police checkpost,81,68,female,,yes,13
2020,february,thursday,minor,4,cycle,3,2,rainy,state highway,under construction,daylight,signs,83,48,female,valid,no,20
2020,march,saturday,serious,3,auto-rickshaw,1,5,clear,state highway,dry,dawn,signals,97,46,female,,no,15
2022,march,sunday,minor,1,pedestrian,6,2,hazy,urban road,dry,dusk,signs,76,18,female,expired,no,16
2019,november,sunday,serious,2,pedestrian,3,2,clear,national highway,wet,daylight,signals,50,54,male,expired,yes,20
2020,november,tuesday,minor,1,pedestrian,9,4,clear,village road,dry,daylight,signs,75,61,male,valid,no,8
2021,may,monday,serious,3,truck,3,4,stormy,urban road,wet,dawn,signs,75,68,female,,no,2
2023,october,sunday,minor,3,auto-rickshaw,1,2,rainy,state highway,dry,dark,police checkpost,58,67,male,,no,6
2020,march,tuesday,minor,5,pedestrian,2,2,stormy,national highway,damaged,dawn,police checkpost,45,30,female,,yes,3
2023,february,sunday,fatal,3,two-wheeler,0,1,hazy,village road,wet,dark,,75,63,male,expired,yes,19
2022,september,saturday,serious,2,cycle,0,0,clear,national highway,dry,dark,,92,40,female,valid,yes,15
2022,december,thursday,minor,1,two-wheeler,5,3,stormy,village road,wet,dusk,,76,42,male,,no,20
2021,august,saturday,minor,5,pedestrian,4,4,stormy,village road,wet,dawn,signs,100,40,female,expired,yes,11
2023,may,monday,serious,1,auto-rickshaw,3,5,rainy,village road,damaged,dark,police checkpost,55,45,female,expired,yes,13
2020,february,monday,fatal,2,bus,2,2,stormy,national highway,under construction,dawn,,105,32,female,valid,no,8
2022,march,monday,minor,5,two-wheeler,6,2,hazy,national highway,wet,dark,signals,100,26,female,expired,no,16
2021,june,thursday,serious,5,bus,5,2,rainy,urban road,under construction,daylight,,82,70,female,expired,yes,16
2023,october,tuesday,serious,1,car,10,5,hazy,village road,damaged,daylight,police checkpost,115,56,female,,yes,0
2020,february,saturday,fatal,5,auto-rickshaw,9,3,rainy,urban road,dry,dawn,signs,114,57,female,valid,no,8
2018,april,saturday,minor,3,bus,1,5,stormy,state highway,under construction,dark,signs,31,40,male,valid,yes,6
2019,march,saturday,fatal,3,cycle,8,0,stormy,village road,wet,dark,police checkpost,46,62,male,expired,no,2
2022,january,wednesday,serious,4,truck,6,1,rainy,state highway,dry,dawn,signs,110,52,male,expired,yes,21
2018,june,sunday,fatal,1,truck,3,1,stormy,village road,under construction,dawn,signs,94,39,female,,yes,16
2023,august,monday,fatal,1,cycle,9,1,clear,urban road,wet,dark,signs,100,28,female,valid,yes,11
2018,june,thursday,serious,4,auto-rickshaw,9,0,rainy,village road,dry,dark,police checkpost,102,50,female,expired,yes,22
2020,june,tuesday,serious,4,cycle,10,2,foggy,state highway,wet,dark,police checkpost,97,42,male,valid,yes,12
2022,october,monday,minor,5,two-wheeler,2,0,stormy,urban road,under construction,daylight,police checkpost,76,31,female,valid,yes,11
2020,july,monday,fatal,5,auto-rickshaw,5,0,rainy,urban road,under construction,dusk,,75,31,female,expired,yes,6
2021,january,friday,minor,3,pedestrian,8,5,stormy,village road,dry,dark,signs,49,64,male,valid,yes,5
2023,september,saturday,minor,3,truck,10,0,rainy,urban road,dry,dawn,signals,113,65,female,expired,no,14
2020,may,friday,minor,2,pedestrian,10,0,hazy,state highway,wet,dusk,signs,61,61,male,,yes,23
2023,november,wednesday,minor,5,truck,8,0,rainy,village road,wet,dawn,,43,56,male,,yes,19
2020,july,friday,serious,1,car,8,0,clear,urban road,under construction,dusk,police checkpost,81,68,male,expired,yes,21
2018,november,friday,fatal,2,two-wheeler,1,2,hazy,state highway,wet,dawn,signs,41,38,male,valid,no,21
2022,march,sunday,serious,2,truck,10,3,clear,national highway,damaged,dusk,police checkpost,86,58,male,valid,no,6
2019,september,tuesday,serious,3,bus,6,5,rainy,state highway,dry,daylight,police checkpost,42,69,male,,yes,22
2022,january,friday,minor,5,pedestrian,10,4,stormy,village road,damaged,dawn,,86,19,male,,no,18
2023,october,monday,fatal,5,pedestrian,5,5,foggy,village road,wet,dusk,signs,99,20,male,valid,no,3
2020,january,tuesday,minor,4,truck,10,2,clear,village road,under construction,dusk,police checkpost,89,58,female,expired,no,1
2020,january,wednesday,minor,1,cycle,2,1,stormy,state highway,under construction,daylight,signs,89,54,male,expired,no,17
2023,november,saturday,minor,1,auto-rickshaw,10,1,clear,state highway,damaged,daylight,signals,31,64,male,valid,yes,5
2020,january,wednesday,fatal,4,car,1,1,rainy,village road,wet,dusk,,75,69,female,valid,no,10
2019,october,monday,minor,3,truck,10,0,hazy,state highway,under construction,dawn,signs,103,29,female,expired,no,19
2023,september,wednesday,serious,4,car,6,3,rainy,national highway,damaged,dusk,,113,64,male,valid,yes,15
2021,february,saturday,fatal,4,cycle,8,4,hazy,urban road,under construction,dusk,signs,71,56,male,valid,no,0
2018,december,tuesday,minor,2,cycle,7,1,rainy,urban road,under construction,dusk,signs,35,35,female,valid,yes,11
2023,august,thursday,minor,5,pedestrian,0,5,clear,state highway,under construction,dark,signs,79,43,male,,no,12
2020,december,tuesday,fatal,3,auto-rickshaw,7,1,hazy,state highway,damaged,daylight,police checkpost,54,50,female,expired,yes,4
2023,december,saturday,fatal,2,auto-rickshaw,2,1,clear,national highway,under construction,daylight,,86,24,female,expired,yes,2
2021,march,saturday,minor,4,cycle,10,2,hazy,village road,dry,daylight,,32,68,male,expired,yes,4
2022,february,monday,minor,1,cycle,8,0,stormy,urban road,damaged,daylight,signals,57,54,male,valid,yes,4
2023,december,monday,minor,3,cycle,7,0,rainy,national highway,wet,daylight,police checkpost,104,64,female,expired,no,12
2018,may,tuesday,minor,2,bus,6,0,foggy,urban road,wet,dark,,86,24,female,,yes,0
2018,april,friday,serious,3,pedestrian,4,0,clear,village road,under construction,dusk,,119,70,male,valid,yes,15
2022,january,sunday,serious,3,cycle,3,1,hazy,village road,damaged,dusk,signals,110,24,male,valid,no,6
2021,may,saturday,serious,5,auto-rickshaw,5,3,clear,national highway,damaged,dawn,signals,99,27,male,valid,yes,0
2020,august,tuesday,minor,3,truck,10,2,rainy,urban road,damaged,dark,signs,79,37,male,,yes,19
2019,may,sunday,minor,5,cycle,5,1,hazy,state highway,dry,dusk,police checkpost,45,56,male,expired,yes,10
2018,january,thursday,fatal,4,car,9,3,rainy,state highway,damaged,dawn,signs,88,42,female,,no,8
2021,july,wednesday,serious,3,auto-rickshaw,2,4,foggy,village road,damaged,dawn,police checkpost,76,23,male,,no,21
2021,april,wednesday,minor,3,truck,7,5,rainy,state highway,wet,dark,police checkpost,81,58,male,expired,no,1
2018,july,tuesday,fatal,1,bus,1,1,hazy,urban road,damaged,daylight,police checkpost,98,52,male,expired,yes,12
2023,november,thursday,fatal,2,car,3,3,rainy,urban road,under construction,dawn,,65,52,male,expired,yes,11
2019,august,wednesday,fatal,2,pedestrian,0,3,rainy,village road,wet,dark,police checkpost,108,33,female,valid,yes,11
2022,october,wednesday,serious,3,two-wheeler,8,5,rainy,village road,under construction,dusk,,112,24,male,valid,no,4
2022,april,sunday,fatal,2,cycle,0,3,clear,village road,damaged,dusk,,118,25,female,valid,yes,19
2023,february,thursday,serious,1,bus,9,5,clear,state highway,dry,dark,signals,81,46,male,expired,yes,4
2019,january,monday,minor,4,pedestrian,6,2,stormy,urban road,wet,dusk,signals,91,50,female,,no,17
2022,october,tuesday,serious,3,bus,0,1,rainy,urban road,dry,dusk,signs,95,29,male,valid,no,0
2019,may,tuesday,fatal,1,car,0,1,rainy,state highway,damaged,daylight,signals,37,67,female,expired,no,22
2018,february,tuesday,serious,2,bus,3,3,rainy,urban road,dry,daylight,signals,81,69,female,valid,no,15
2018,march,friday,fatal,4,bus,2,2,clear,state highway,damaged,daylight,signs,89,57,female,valid,no,15
2019,august,tuesday,serious,2,two-wheeler,3,5,clear,national highway,damaged,dusk,police checkpost,76,47,male,valid,yes,5
2022,june,monday,minor,4,car,7,3,foggy,urban road,dry,dusk,signals,32,69,male,expired,yes,1
2021,november,thursday,fatal,5,bus,6,1,foggy,village road,wet,dark,signals,104,38,male,valid,yes,19
2019,october,friday,serious,3,pedestrian,4,0,rainy,state highway,dry,daylight,signals,107,23,female,valid,yes,10
2018,october,saturday,minor,1,bus,9,2,rainy,urban road,wet,dusk,signs,79,64,male,expired,no,4
2021,april,thursday,minor,2,auto-rickshaw,1,5,clear,national highway,under construction,dusk,police checkpost,84,30,male,valid,yes,5
2018,april,saturday,fatal,3,car,0,3,hazy,urban road,dry,dark,,98,54,female,valid,no,6
2021,january,friday,serious,3,truck,1,4,foggy,state highway,dry,dark,police checkpost,51,21,female,expired,no,2
2023,february,saturday,minor,2,pedestrian,9,4,stormy,village road,wet,dusk,,66,65,male,,no,12
2018,june,saturday,minor,1,truck,8,1,rainy,national highway,under construction,dusk,signals,74,49,male,,no,3
2019,october,tuesday,fatal,5,cycle,0,1,clear,national highway,damaged,daylight,signals,33,37,male,valid,no,16
2023,august,sunday,serious,4,car,0,1,stormy,state highway,wet,dusk,signs,59,23,male,expired,yes,7
2022,december,saturday,serious,4,auto-rickshaw,7,2,clear,urban road,dry,daylight,police checkpost,64,67,male,expired,no,17
